RUNTIME	Iteracoes	Media movimentos	Media espera
225.53043222427368	589	82.0	7.5
236.70343923568726	577	78.0	7.0
360.39639163017273	892	81.0	8.0
380.35199308395386	972	74.0	6.0
345.99921798706055	864	76.0	5.0
231.7271113395691	558	76.0	6.0
423.2409861087799	954	71.0	6.0
233.94492101669312	545	77.5	5.5
479.2979884147644	1200	81.0	6.0
291.72623324394226	709	83.5	8.0
472.2007613182068	1200	69.0	6.0
156.25918579101562	338	70.0	7.0
349.6759400367737	856	77.0	6.0
417.34557700157166	1060	69.5	6.0
428.5714302062988	1051	78.0	6.0
475.8942220211029	1200	80.0	6.0
198.6781189441681	464	70.0	6.5
163.88957500457764	360	66.0	6.0
445.67694568634033	1144	80.0	6.0
203.38804936408997	435	71.0	7.0
203.3037543296814	472	76.0	7.0
480.7206151485443	1200	80.0	6.0
358.5311162471771	900	82.0	6.0
193.39143538475037	417	79.0	7.0
151.80535101890564	341	79.5	6.0
463.34165477752686	1195	73.5	7.0
336.50110363960266	887	73.0	5.0
182.1949803829193	446	78.0	7.0
762.6842195987701	1171	73.5	7.0
656.8381304740906	1187	76.0	6.0
419.1356258392334	1124	72.5	7.0
203.57881212234497	553	69.0	5.0
165.98967814445496	435	72.0	6.0
409.4152843952179	1200	69.5	6.0
190.23468351364136	542	73.5	5.0
302.87444853782654	905	68.0	4.5
395.94779896736145	1200	74.5	5.0
177.73842096328735	499	73.5	6.0
330.93869638442993	989	73.0	5.5
221.56639647483826	640	79.5	7.0
183.604651927948	518	75.0	6.0
396.0586395263672	1200	81.0	8.0
198.19916033744812	560	74.5	6.5
126.34658455848694	337	74.0	6.0
388.4692077636719	1177	77.0	7.0
396.4252574443817	1200	76.5	5.0
142.89689898490906	388	68.0	7.0
401.217702627182	1200	73.0	6.0
275.4639587402344	802	75.5	6.0
250.3288538455963	723	73.0	6.0
194.47410202026367	543	75.0	6.0
172.76649618148804	476	74.0	6.0
381.64370012283325	1047	73.5	6.0
421.885577917099	1200	78.0	6.0
346.05636072158813	848	85.5	8.0
251.4332947731018	620	72.5	5.0
460.0177595615387	1200	72.0	5.0
337.90828108787537	879	73.5	7.0
253.66507196426392	634	83.5	7.0
327.2223913669586	976	71.0	5.0
324.3210995197296	905	78.0	6.0
234.4887945652008	613	76.5	6.0
194.05145239830017	523	81.0	7.0
363.0734508037567	819	72.0	6.0
470.46098256111145	1033	82.0	6.0
231.92545914649963	465	76.0	7.0
527.6222703456879	1200	83.5	8.5
108.5692446231842	274	72.0	6.0
236.05213832855225	671	79.5	7.0
211.33305096626282	552	71.5	6.0
342.4746949672699	940	79.0	5.0
127.06392812728882	297	73.0	6.0
411.3390443325043	1124	80.0	6.5
279.65862560272217	733	69.0	7.0
211.99577569961548	523	75.0	6.0
154.8261594772339	367	80.0	6.0
151.06280493736267	347	71.5	6.0
225.2027313709259	570	68.5	6.0
446.8856463432312	1200	74.5	7.0
400.68042492866516	1075	77.5	5.0
441.035197019577	1200	80.0	6.0
399.30513095855713	1200	80.5	7.0
88.73516750335693	214	72.0	6.0
276.5373125076294	812	78.5	7.0
239.19702887535095	688	74.0	6.0
198.3872652053833	560	78.0	6.0
399.5799403190613	1200	76.0	7.0
156.72921228408813	428	76.0	7.0
311.3544569015503	922	83.0	7.5
223.404363155365	641	72.5	6.0
137.43582010269165	363	75.0	6.0
131.2577621936798	332	74.0	5.0
110.27154326438904	284	72.0	5.0
290.82161498069763	831	70.0	6.5
409.80500173568726	1200	80.0	5.0
395.3160128593445	1200	70.0	5.0
199.14431357383728	569	79.5	7.0
158.4384753704071	440	84.5	6.0
104.40703821182251	265	71.5	5.0
397.05741333961487	1200	73.0	6.0
