RUNTIME	Iteracoes	Media movimentos	Media espera
75.57234454154968	154	68.0	7.0
79.55530858039856	153	74.0	5.0
82.42955422401428	157	76.5	7.0
84.31213927268982	162	70.5	5.0
84.07790851593018	154	73.5	6.0
87.23595976829529	169	77.5	7.0
87.73643851280212	163	73.5	6.0
83.11812973022461	158	74.0	7.0
77.71450877189636	148	71.0	5.5
83.28984951972961	162	68.0	6.5
80.00659346580505	151	68.0	6.0
83.2453556060791	168	77.0	7.0
82.96680545806885	160	78.0	5.0
88.80803894996643	161	76.5	6.0
83.19143438339233	165	66.0	6.0
83.40789866447449	161	75.5	6.0
81.43624639511108	152	74.5	6.0
83.85456228256226	156	75.5	6.0
114.14049816131592	175	78.0	7.0
90.9393961429596	171	75.0	6.0
93.61688137054443	153	74.5	5.0
82.35417056083679	155	69.5	5.0
84.43501043319702	154	70.0	6.0
88.55614805221558	159	74.5	7.0
90.26605868339539	170	66.5	5.0
95.52594900131226	180	77.0	6.5
85.09008884429932	163	76.5	7.0
86.5179979801178	163	77.5	6.0
95.06511282920837	168	73.0	6.0
88.84357571601868	173	71.0	6.5
81.54608678817749	151	73.5	6.0
85.16070580482483	158	74.5	6.0
85.43360304832458	156	76.0	6.0
81.10644841194153	155	71.5	6.0
83.91678929328918	157	74.5	6.0
87.81422233581543	168	73.0	6.0
87.94497036933899	162	76.5	7.0
97.8759253025055	168	75.0	6.5
84.34584283828735	162	74.0	6.0
83.72897624969482	155	75.0	6.0
84.3837342262268	151	64.0	5.0
87.26905035972595	164	74.0	7.0
75.02094173431396	146	68.5	5.0
86.83318376541138	161	72.0	6.0
80.05439686775208	146	64.5	5.0
92.15321707725525	164	77.0	6.0
82.79409766197205	151	69.0	5.5
84.5962827205658	159	72.0	6.0
89.87283039093018	173	79.5	7.0
92.90488815307617	168	72.5	6.0
91.47643184661865	170	69.0	6.0
89.1212568283081	163	77.0	7.0
82.52731704711914	161	73.0	6.0
83.1134421825409	166	75.0	6.0
80.53136992454529	156	71.5	5.0
88.7240879535675	164	74.0	6.0
85.04752278327942	156	76.0	6.0
82.3902440071106	148	71.0	5.0
82.84700393676758	165	69.0	7.0
79.05303144454956	154	66.0	5.0
86.67069983482361	169	75.0	6.0
85.0330240726471	158	75.5	6.0
82.44433879852295	162	72.5	5.0
99.54247069358826	159	75.0	6.0
92.3508996963501	169	78.5	6.0
84.91111493110657	164	72.5	6.0
88.10499429702759	162	77.0	6.0
84.86084175109863	158	69.0	6.0
83.16552639007568	153	66.5	6.0
94.10519766807556	183	77.5	7.0
82.68454241752625	155	75.0	6.0
82.64992451667786	155	73.5	6.0
85.46792316436768	168	80.0	7.0
98.20327854156494	192	81.5	7.0
87.60578918457031	161	69.5	7.0
97.54061698913574	167	72.5	7.0
96.90079140663147	185	76.0	7.0
94.21804094314575	186	79.5	7.0
90.15009379386902	166	78.5	7.0
92.39327549934387	178	77.0	7.0
85.84353113174438	165	77.0	6.5
89.84617972373962	181	74.5	7.5
83.32256484031677	164	76.0	6.0
83.50712752342224	170	78.0	6.0
82.55000448226929	168	77.0	5.5
78.42326021194458	156	76.0	6.0
82.30561137199402	166	69.0	6.0
76.79038143157959	152	75.0	6.0
128.4214310646057	165	58.0	5.0
146.1961407661438	156	74.0	7.0
137.09347319602966	153	68.5	6.0
151.6338005065918	176	73.5	6.0
149.89289116859436	173	72.0	7.0
147.693350315094	168	78.5	6.5
133.66947507858276	145	64.0	6.0
110.6449089050293	160	72.5	6.0
85.5865547657013	166	73.0	6.5
88.98874473571777	163	70.0	7.0
79.4199788570404	151	69.5	6.5
82.56110000610352	156	69.5	6.0
