RUNTIME	Iteracoes	Media movimentos	Media espera
171.91461300849915	330	77.5	11.0
163.60273051261902	315	73.0	9.0
169.00892114639282	326	75.5	10.0
161.14339590072632	308	72.5	9.0
170.49748396873474	330	71.0	11.0
157.43144822120667	304	74.0	8.0
151.27903985977173	289	68.5	9.0
160.4888732433319	307	73.0	9.0
172.32454347610474	334	76.0	10.0
172.6097593307495	335	75.0	10.0
163.3532772064209	314	70.0	10.0
163.17250084877014	316	77.0	8.0
161.3735933303833	307	76.0	9.0
159.68588638305664	306	72.0	9.0
161.84130144119263	313	70.0	8.5
167.160826921463	325	71.0	9.0
150.03712677955627	282	70.0	10.0
169.56323719024658	330	74.0	10.0
164.05561590194702	316	73.0	9.0
170.75605607032776	329	76.0	10.0
163.4712188243866	319	69.0	8.0
153.67324662208557	294	72.0	9.0
162.05876994132996	312	71.5	9.0
162.0987696647644	313	74.5	9.0
168.36100578308105	326	73.0	10.0
166.69718074798584	321	75.5	10.0
165.35856699943542	319	74.0	10.0
166.33053946495056	319	73.0	10.0
162.98565793037415	313	75.0	8.5
160.21130061149597	307	69.5	10.0
164.85948586463928	318	70.0	10.0
160.36208081245422	308	73.0	9.0
163.11742877960205	314	72.0	8.0
160.25684571266174	306	76.0	10.0
159.4290668964386	305	76.0	10.0
163.02402424812317	315	71.0	10.0
173.2159297466278	335	73.5	9.5
161.86375212669373	309	75.0	10.0
169.11995697021484	329	73.5	9.5
151.99190998077393	286	74.0	9.0
160.30020308494568	310	75.0	9.0
162.39207553863525	311	73.5	9.0
175.78554272651672	341	73.0	10.0
170.1579246520996	329	72.0	9.0
160.55351090431213	311	71.0	9.0
172.18406629562378	335	71.0	10.0
161.25077176094055	310	75.0	9.0
161.6944441795349	310	71.0	9.5
157.8264594078064	304	72.0	8.0
157.66857504844666	301	72.0	10.0
169.49356937408447	329	72.5	10.0
168.76340079307556	326	78.0	10.0
164.26551127433777	315	77.0	10.0
166.30460357666016	322	75.0	9.0
166.7253179550171	320	76.0	10.0
170.1664617061615	331	73.0	10.0
161.4254982471466	312	72.0	8.0
161.00352311134338	311	68.0	8.0
167.4533998966217	323	78.0	9.0
163.24122524261475	314	73.0	10.0
159.27559280395508	308	77.0	9.0
 RUNTIME	Iteracoes	Media movimentos	Media espera
314.22040128707886	874	76.0	8.0
188.76013088226318	475	75.5	10.0
#528.7395794391632	1200	75.0	10.0
154.33576917648315	287	70.0	7.0
147.08629727363586	275	72.0	7.0
156.72397303581238	293	75.0	7.0
153.81255626678467	290	75.0	8.0
150.0939040184021	279	75.0	7.0
146.3718605041504	278	65.5	6.0
155.89324069023132	270	71.0	6.0
157.76452231407166	303	74.5	7.0
145.104163646698	270	73.0	7.0
142.65414762496948	265	70.5	7.0
156.78429889678955	300	71.0	6.0
161.92988634109497	310	76.0	8.0
162.97982954978943	314	75.0	7.0
154.44905853271484	294	71.5	7.0
145.71964049339294	274	70.0	6.0
149.9942102432251	283	74.0	6.0
154.04138827323914	294	72.0	7.0
159.06023836135864	293	73.0	6.0
158.484361410141	305	69.0	6.0
151.9835968017578	291	74.0	7.0
156.21938490867615	297	73.0	8.0
137.33329486846924	254	76.0	6.0
148.2442662715912	277	72.0	7.0
164.073885679245	317	71.0	7.0
149.72111988067627	282	70.0	6.0
154.69822430610657	296	75.0	7.0
153.86430859565735	293	75.0	7.0
159.81812572479248	309	74.0	7.0
145.10781288146973	276	76.0	6.0
153.72380208969116	293	71.0	6.0
146.134624004364	278	70.0	6.0
157.66112732887268	300	73.0	7.0
149.10222673416138	282	70.0	6.0
161.3403034210205	311	73.0	6.0
160.74744510650635	310	74.5	7.0
158.29148125648499	301	72.0	7.0
158.32442688941956	302	73.0	8.0
154.75450205802917	294	68.0	7.0
153.69230127334595	292	73.5	6.0
157.13045573234558	300	71.5	7.0
145.71750211715698	273	70.0	7.0
145.01465153694153	273	72.5	6.0
164.25956082344055	313	75.0	8.0
150.99442720413208	284	74.0	6.0
158.64315247535706	304	73.0	7.0
145.6788272857666	272	72.0	7.0
151.2915859222412	287	72.0	7.0
161.39475417137146	307	76.5	9.0
170.06106781959534	323	74.0	7.0
160.39223194122314	309	73.0	6.0
153.96437811851501	293	74.0	6.0
152.93930983543396	288	73.0	7.5
155.55670642852783	299	68.0	6.0
149.92836165428162	284	76.0	6.0
147.68381929397583	278	74.0	7.0
157.42296385765076	302	74.0	6.0
152.33489775657654	279	67.5	6.0
165.2482841014862	303	76.0	7.0
178.4034492969513	311	72.0	7.0
141.02073168754578	265	70.0	6.0
158.13657665252686	291	68.0	6.5
159.37883830070496	306	71.0	7.0
149.45143604278564	284	74.0	6.0
151.28548645973206	286	76.0	7.0
153.9744474887848	294	75.0	7.0
153.75760078430176	291	72.0	6.0
152.06409287452698	290	70.0	6.0
163.740149974823	312	79.0	7.0
148.12398409843445	279	73.5	7.0
164.72719812393188	316	75.0	8.0
138.54529356956482	259	73.0	6.5
155.61810278892517	298	69.0	7.0
162.63977146148682	312	75.0	7.0
164.14229273796082	316	76.0	6.0
154.2157802581787	296	73.0	6.0
159.6477906703949	305	72.0	6.0
147.14346480369568	279	68.5	6.0
149.02941799163818	285	70.0	6.0
143.8172092437744	270	73.0	7.0
162.04751348495483	309	73.5	7.0
145.162339925766	275	74.0	6.0
153.31768655776978	288	71.5	6.0
171.04321193695068	331	77.0	7.0
158.04941058158875	299	73.0	7.0
150.02099180221558	286	68.5	7.0
142.90733432769775	265	72.0	6.0
142.53802800178528	268	68.0	6.0
158.23920559883118	299	77.0	7.0
142.7804605960846	267	71.5	6.0
168.13682651519775	322	73.5	8.0
146.61944150924683	278	74.5	6.0
148.48616337776184	279	70.0	7.0
161.6363217830658	311	69.5	7.0
156.08055520057678	295	74.5	7.0
152.37013339996338	290	74.5	6.0
164.11416816711426	317	73.0	8.0
141.93383979797363	266	72.0	6.0
146.36512875556946	275	72.0	7.0
157.45616173744202	302	70.5	7.0
156.0510447025299	298	73.0	7.0
RUNTIME	Iteracoes	Media movimentos	Media espera
153.0431694984436	289	70.0	6.0
160.08825850486755	307	76.5	7.0
159.02470135688782	301	80.0	8.0
165.91512727737427	320	73.0	8.0
157.48392033576965	300	73.5	7.0
151.98612093925476	290	75.5	7.0
145.4414734840393	272	71.0	8.0
140.42352867126465	264	73.0	5.0
168.54664540290833	327	74.0	7.0
159.038241147995	307	74.0	7.0
151.28297448158264	285	73.0	7.0
146.8198800086975	279	72.0	7.0
166.22184300422668	321	76.0	7.0
156.68571543693542	296	73.0	8.0
162.74450588226318	315	73.0	7.0
154.6928038597107	295	73.0	7.5
167.35088729858398	325	75.0	7.0
152.95749974250793	290	72.5	7.0
148.50822043418884	281	72.0	7.0
138.99800562858582	264	70.5	6.0
153.95004653930664	296	70.0	7.0
161.73601031303406	308	74.0	8.0
151.54665637016296	288	77.0	7.0
160.4337272644043	309	72.0	7.0
152.81401920318604	289	75.0	7.0
159.87638068199158	305	76.0	8.0
152.73620104789734	293	72.0	6.0
162.82242155075073	314	76.0	8.0
153.59086346626282	295	73.5	6.0
151.76672625541687	292	71.5	6.0
160.7889437675476	308	75.0	8.0
169.17362260818481	328	77.0	8.0
158.4702184200287	304	72.5	8.0
167.60374975204468	325	77.0	7.0
141.5554962158203	266	73.5	6.5
158.7649405002594	303	74.0	8.0
162.20149064064026	311	74.0	8.0
167.0607454776764	324	76.5	8.0
155.31777429580688	298	69.0	7.0
155.4368917942047	299	74.0	7.0
164.18874526023865	317	77.0	8.0
163.3892822265625	314	71.0	8.0
150.29911303520203	283	72.0	7.0
154.2308065891266	296	77.0	8.0
150.049378156662	285	72.5	6.0
167.89844012260437	324	74.0	7.0
156.75362730026245	301	72.5	7.0
157.44027018547058	298	78.0	9.0
167.87406468391418	327	74.0	8.0
152.32558035850525	289	68.0	7.0
169.44964933395386	335	75.0	6.0
163.2207052707672	317	73.0	7.0
149.00328969955444	284	70.0	6.5
162.3989658355713	315	75.0	8.0
174.94876670837402	340	80.0	8.0
159.99799132347107	305	75.0	8.0
182.43081283569336	364	75.0	8.0
160.63117361068726	307	74.0	8.0
157.4215919971466	301	73.0	7.0
161.32824158668518	311	75.0	7.0
164.33638882637024	320	75.5	7.0
151.7653272151947	288	73.0	7.0
150.58834719657898	283	70.0	7.0
147.89732694625854	278	73.0	8.0
156.52950501441956	301	71.0	6.5
167.9001612663269	324	75.0	8.0
149.7368700504303	285	71.0	7.0
155.40844345092773	299	73.0	7.0
167.38161087036133	327	76.0	7.0
149.82001638412476	283	69.0	7.0
156.02346920967102	298	73.5	7.0
170.81915760040283	330	76.0	8.0
162.7944495677948	313	76.0	7.0
145.8971757888794	273	69.0	6.0
160.77421736717224	308	76.0	8.0
167.2238245010376	322	75.0	8.0
162.39748692512512	316	73.0	7.0
159.37783288955688	307	71.0	7.0
165.38122940063477	319	74.5	7.0
158.89336133003235	305	74.0	7.0
159.83701491355896	310	67.0	7.0
160.28678154945374	307	73.5	7.0
201.51165008544922	302	75.0	7.0
165.62887358665466	321	74.0	8.0
150.12787461280823	287	73.0	6.0
164.03680443763733	316	78.0	8.0
202.03282523155212	296	74.5	8.0
152.6755735874176	290	72.0	8.0
158.53471755981445	299	74.0	8.0
152.28301310539246	289	76.5	6.0
164.86730289459229	316	73.0	9.0
170.7593638896942	331	78.0	7.0
155.4582438468933	299	68.0	7.0
